Date,Open,High,Low,Close,Volume,Change,Wave,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-22,0.1631028652191162,0.16318272054195404,0.16281341016292572,0.1631028652191162,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0,0.16305046528577805,0.16299806535243988,0.163032998641332,0.16305046528577805,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16311883926391602,1.5974044799804688e-05,9.793846833006141e-05,1.0,0.16299806535243988,0.1630418449640274,4.3779611587524414e-05,0.0002685897620494002,1.0
2014-09-23,0.16311883926391602,0.16319070756435394,0.16289298236370087,0.16311883926391602,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16281341016292572,0.16281341016292572,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.00029772520065307617,,,,,,,0,0.1630803421139717,0.1630418449640274,0.16306750973065695,0.1630803421139717,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16319070756435394,7.186830043792725e-05,0.00044058859640147915,1.0,0.1630418449640274,0.16308847814798355,4.663318395614624e-05,0.00028601972681574543,1.0
2014-09-24,0.16319070756435394,0.16328397393226624,0.16289298236370087,0.16319070756435394,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.1628209561109543,0.1628209561109543,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.00039099156856536865,,,,,,,0,0.16313959285616875,0.16308847814798355,0.16312255462010702,0.16313959285616875,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16322267055511475,3.196299076080322e-05,0.00019586281129517548,1.0,0.16308847814798355,0.1631455346941948,5.7056546211242676e-05,0.0003498502583332134,1.0
2014-09-25,0.16322267055511475,0.16326530277729034,0.16302576661109924,0.16322267055511475,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16283947682380676,0.16283947682380676,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.00023953616619110107,,,,,,,0,0.16318410262465477,0.1631455346941948,0.16317124664783478,0.16318410262465477,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16323865950107574,1.5988945960998535e-05,9.79578750097684e-05,1.0,0.1631455346941948,0.16322580724954605,8.027255535125732e-05,0.0004920303549939186,1.0
2014-09-26,0.16323865950107574,0.16350555419921875,0.16294606029987335,0.16323865950107574,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16285725670814513,0.16285725670814513,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.000559493899345398,,,,,,,0,0.1632322333753109,0.16322580724954605,0.16323009133338928,0.1632322333753109,,,,,,,0.0,,2.9857759806239947e-09,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16347616910934448,0.0002375096082687378,0.0014549838193640189,1.0,0.16322580724954605,0.1630653515458107,-0.00016045570373535156,-0.0009830290101738664,-1.0
2014-09-29,0.16347616910934448,0.16347616910934448,0.16265453398227692,0.16347616910934448,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16350555419921875,-0.16350555419921875,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0008216351270675659,,,,,,,0,0.1632707603275776,0.1630653515458107,0.1632022907336553,0.1632707603275776,-0.061763303438280376,,,,,,0.00012061920068543274,,1.4548991573992698e-08,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16286645829677582,-0.0006097108125686646,-0.0037296617353496132,-1.0,0.1630653515458107,0.16287362575531006,-0.00019172579050064087,-0.0011757604462452494,-1.0
2014-09-30,0.16286645829677582,0.16317206621170044,0.16257518529891968,0.16286645829677582,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16350555419921875,-0.16350555419921875,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0009009838104248047,,,,,,,0,0.16287004202604294,0.16287362575531006,0.1628712366024653,0.16287004202604294,0.06220554243718867,,,,,,0.00019473500599720067,,3.792172256072979e-08,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16317206621170044,0.0003056079149246216,0.001876432496418273,1.0,0.16287362575531006,0.16304579377174377,0.00017216801643371582,0.0010570650443575745,1.0
2014-10-01,0.16317206621170044,0.16317206621170044,0.1629195213317871,0.16317206621170044,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16347616910934448,-0.16347616910934448,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0003056079149246216,,,,,,,0,0.1631089299917221,0.16304579377174377,0.16308788458506265,0.1631089299917221,0.07873643404996974,,,,,,0.00019503501198180347,,3.8038655898742224e-08,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16317206621170044,0.0,0.0,0.0,0.16304579377174377,0.16304579377174377,0.0,0.0,0.0
2014-10-02,0.16317206621170044,0.16317206621170044,0.1629195213317871,0.16317206621170044,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16344012975692748,-0.16344012975692748,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0002525448799133301,,,,,,,0,0.1631089299917221,0.16304579377174377,0.16308788458506265,0.1631089299917221,0.07793072095673083,,,,,,0.0001946597747716773,,3.789242791416014e-08,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16317206621170044,0.0,0.0,0.0,0.16304579377174377,0.1630590632557869,1.3269484043121338e-05,8.138501298413115e-05,1.0
2014-10-03,0.16317206621170044,0.16317206621170044,0.16294606029987335,0.16317206621170044,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0.16340553197860716,-0.16340553197860716,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0002260059118270874,,,,,,,0,0.16311556473374367,0.1630590632557869,0.1630967309077581,0.16311556473374367,0.46256577186766823,,,,,,0.0001928078406066736,,3.717486339940845e-08,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16315874457359314,-1.3321638107299805e-05,-8.164165850554488e-05,-1.0,0.1630590632557869,0.16307896375656128,1.9900500774383545e-05,0.00012204473874087023,1.0
