,Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION,Top_1_RF_Diff_Predict,Top_1_RF_Price_Predict,Top_5_RF_Diff_Predict,Top_5_RF_Price_Predict,Top_1_GT_Diff_Predict,Top_1_GT_Price_Predict,Top_5_GT_Diff_Predict,Top_5_GT_Price_Predict,Top_1_GRNN_Diff_Predict,Top_1_GRNN_Price_Predict,Top_5_GRNN_Diff_Predict,Top_5_GRNN_Price_Predict,Top_1_CNN1D_Diff_Predict,Top_1_CNN1D_Price_Predict,Top_5_CNN1D_Diff_Predict,Top_5_CNN1D_Price_Predict,Top_1_LSTM_Diff_Predict,Top_1_LSTM_Price_Predict,Top_5_LSTM_Diff_Predict,Top_5_LSTM_Price_Predict,Top_1_CNN1D_LSTM_Diff_Predict,Top_1_CNN1D_LSTM_Price_Predict,Top_5_CNN1D_LSTM_Diff_Predict,Top_5_CNN1D_LSTM_Price_Predict,Top_1_Transformer_Diff_Predict,Top_1_Transformer_Price_Predict,Top_5_Transformer_Diff_Predict,Top_5_Transformer_Price_Predict,Top_1_Combined_Diff_Predict,Top_1_Combined_Price_Predict,Top_5_Combined_Diff_Predict,Top_5_Combined_Price_Predict
117,2017-05-09,32442.0,32442.0,32442.0,32442.0,0,0,0,0,0,0,0,0,32441.99999993907,32438.4,32434.80000006093,32446.977100862725,32430.8684949872,32432.46461538462,32438.907596817688,32430.6,32441.08717810849,32436.077561157505,32442.0,32439.0,32439.0,32431.86805434641,32431.86805434641,32430.6,32439.918904144448,32440.58547101425,32432.625,32435.94623655914,6.333333333332121,188.17204301061517,5.689738673125248,6.448978868443138,-0.75924019531789,6.333333333332121,9.054131054131076,-2.720797720798954,5.420783388504788,6.139801946698181,-0.719018558193393,4.287189299381201,3.0,14.769888872596018,0.0195274360476432,0.0092481272542244,9.248127254231018e-05,1.0000924812725422,100.00924812725422,0.0047906961432531,0.0,0.0,0.0,2.7966237958649667,0.0086203803583779,0.0,23.00908015361736,227.2778091146408,-0.0652680251146075,-1.83731075240358,-0.7346518860744154,-0.999209863376596,32442.0,32442.0,32442.0,32442.0,1.0000000000000082,32440.6,13.828650972280156,32437.4,0.2461538461538461,2.227105753696257,32440.846153846152,4.960000038146973,57.69948134300629,60.24454177733685,64.28571428571429,100.0,35.714285714285715,52.92139170045223,55.00685613301029,0.0,10.95697547744128,37.74811394610588,76.46069585022613,91.66666666666669,80.55555555555559,100.0,91.66666666666669,39.22748782896444,30.6041493225418,72.26058494351176,-0.0,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,0,-1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32442.0,0.0,0.0,0.0,32442.0,32443.0,1.0,3.0824240182479504e-05,1.0,0.5818387866020203,32442.581838786602,0.36304154992103577,32442.36304154992,1.1657966375350952,32443.165796637535,3.012786865234375,32445.012786865234,-907.81396484375,31534.18603515625,363.01458740234375,32805.014587402344,212.57489013671875,32654.57489013672,554.761474609375,32996.761474609375,-144.57945251464844,32297.42054748535,-169.07821655273438,32272.921783447266,-378.9268493652344,32063.073150634766,-125.66485595703125,32316.33514404297,,,,,253.34317016601562,32695.343170166016,218.04603576660156,32660.0460357666
118,2017-05-10,32443.0,32443.0,32443.0,32442.0,0,0,0,0,0,0,0,0,32442.12264961118,32438.8,32435.477350388817,32447.327826187648,32431.586656600924,32433.65630769231,32439.69287756961,32431.5,32441.13281920306,32436.20394260864,32442.0,32439.0,32439.5,32432.88124891177,32432.88124891177,32431.5,32440.59623018907,32441.004828833426,32433.679166666665,32436.681720430108,5.544871794871142,162.105263157924,5.533025983575499,6.26578829146961,-0.7327623078941112,5.544871794871142,8.382478632478321,-2.8376068376071792,5.271176584974455,5.966076874353435,-0.69490028937898,3.980961492282544,3.0,14.714896810267732,0.0170958414612675,0.0092481272542244,9.248127254231018e-05,1.0000924812725422,100.00924812725422,0.0046976243765151,0.0,0.0,0.0,2.6682935247317547,0.0082248120483686,1.0,23.045861949766596,232.15239836967908,-1.6142460754867372,0.0163558099914184,-0.7896455333830126,-0.9922184864047328,32442.75,32443.0,32442.666666666668,32442.5,1.0000000000000129,32441.085714285717,14.892221822702206,32437.62857142857,0.2659340659340659,1.2649110734916735,32441.351648351647,1.600000023841858,57.6790497913667,60.64348981439822,57.142857142857146,100.0,42.85714285714286,52.92139170045221,57.413439620052046,0.0,10.663479830146992,39.41560490930959,76.4606958502261,95.23809523809524,92.85714285714288,85.71428571428571,95.23809523809524,39.22748782896426,39.227487828964335,66.0921157156097,-14.285714285714285,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,1,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32443.0,1.0,3.0824240182479504e-05,1.0,32443.0,32445.0,2.0,6.164658015596584e-05,1.0,0.5818387866020203,32442.581838786602,0.36304154992103577,32442.36304154992,1.1657966375350952,32443.165796637535,3.012786865234375,32445.012786865234,-869.042236328125,31572.957763671875,384.4379577636719,32826.43795776367,222.1765594482422,32664.176559448242,558.4746704101562,33000.474670410156,-146.5074462890625,32295.492553710938,-170.9947509765625,32271.005249023438,-378.7158203125,32063.2841796875,-125.75958251953125,32316.24041748047,,,,,247.894775390625,32689.894775390625,223.45668029785156,32665.45668029785
119,2017-05-11,32445.0,32445.0,32445.0,32443.0,0,0,0,0,0,0,0,0,32442.81696171125,32439.05,32435.283038288744,32447.73745021836,32432.32300133635,32435.164666666667,32440.54701911652,32432.43333333333,32441.226178242905,32436.329498499497,32442.5,32439.5,32440.5,32434.09549904236,32434.09549904236,32432.43333333333,32441.318396096147,32441.516746227742,32434.666666666668,32437.42365591398,4.801282051284943,166.28352490431618,5.426963038960821,6.098023240967852,-0.6710602020070313,4.801282051284943,7.667378917378907,-2.8660968660939643,5.169247499117773,5.806710999306302,-0.6374635001885292,3.696607099976648,4.0,15.663832752391466,0.0148027284452402,0.0123308363389806,0.0001233083633897,1.0001233083633898,100.01233083633898,0.0046060677316939,0.0,0.0,0.0,2.691986844393772,0.0082975891390863,3.0,23.139274916530468,238.15781952086851,-0.4078856431232329,5.232566968860684,-0.849504524052291,-0.973746748256564,32444.5,32445.0,32444.33333333333,32444.0,1.0000000000000149,32441.685714285715,16.29404745659891,32437.88571428572,0.2923076923076923,1.3564660089285692,32441.978021978022,1.840000033378601,57.97431607229926,61.17106078111131,50.0,100.0,50.0,55.58332761886924,61.81277772442252,0.0,9.814162190452407,41.58607907155226,77.79166380943462,87.83068783068784,91.57848324514994,77.77777777777779,87.83068783068784,47.92609709034355,42.12702424942407,57.35620968179108,-22.22222222222222,0.0,1,1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,-1,1,1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32445.0,2.0,6.164658015596584e-05,1.0,32445.0,32448.0,3.0,9.246417013407304e-05,1.0,0.5818387866020203,32443.581838786602,0.36304154992103577,32443.36304154992,1.1657966375350952,32444.165796637535,3.012786865234375,32446.012786865234,-864.6140747070312,31578.38592529297,394.0782165527344,32837.078216552734,225.19297790527344,32668.192977905273,559.8880615234375,33002.88806152344,-147.6566162109375,32295.343383789062,-169.23060607910156,32273.7693939209,-380.0065002441406,32062.99349975586,-126.0100326538086,32316.98996734619,,,,,247.8422393798828,32690.842239379883,225.31454467773438,32668.314544677734
120,2017-05-12,32448.0,32448.0,32448.0,32445.0,0,0,0,0,0,0,0,0,32443.93431356061,32439.4,32434.86568643939,32448.325945545053,32433.140872217875,32436.586166666668,32441.73324503345,32433.43333333333,32443.113089121453,32438.025396154982,32444.0,32440.5,32442.0,32435.622129176427,32435.622129176427,32433.43333333333,32442.21802494448,32442.29200016383,32435.595833333333,32438.23440860215,4.14743589743739,175.50349362925144,5.441563717235113,5.966731336221304,-0.5251676189861918,4.14743589743739,6.95584045584029,-2.8084045584029003,5.180951720994926,5.681559143644027,-0.5006074226491011,3.432563735692602,6.0,17.544987555792076,0.0127864147011799,0.018496254508471,0.0001849625450846,1.0001849625450847,100.01849625450848,0.0045172657829661,0.0,0.0,0.0,2.8568449269370744,0.0088051931790324,5.0,23.25878244099505,234.2083206544985,1.637478316240859,4.78746854966934,-0.811148759637836,-0.9871130362674332,32447.25,32448.0,32447.0,32446.5,1.0000000000000218,32442.914285714287,22.557246634705653,32437.51428571429,0.4153846153846154,1.1661904362128872,32443.32967032967,1.3600001335144043,58.63857443082414,61.02489304389339,42.85714285714286,100.0,57.142857142857146,60.405309873247006,67.27393309164768,0.0,8.58664363832896,43.88922315235759,80.2026549366235,79.4973544973545,87.5220458553792,75.0,79.4973544973545,63.68325307818561,50.278945999164456,65.92996172828106,-25.0,0.0,1,1.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,0,0,-1,1,1,-1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32450.0,5.0,0.0001541069502234,1.0,32448.0,32448.0,0.0,0.0,0.0,0.5818387866020203,32445.581838786602,0.36304154992103577,32445.36304154992,1.1657966375350952,32446.165796637535,3.012786865234375,32448.012786865234,-868.3236694335938,31576.676330566406,399.98785400390625,32844.987854003906,223.5939178466797,32668.59391784668,558.7123413085938,33003.712341308594,-148.30105590820312,32296.698944091797,-171.62991333007812,32273.370086669922,-378.89080810546875,32066.10919189453,-125.6423568725586,32319.35764312744,,,,,248.3932342529297,32693.39323425293,226.7412109375,32671.7412109375
121,2017-05-15,32448.0,32448.0,32448.0,32450.0,0,0,0,0,0,0,0,0,32446.418722599494,32440.0,32433.581277400503,32449.451461453034,32434.22855788124,32438.05083333333,32444.0804654085,32434.6,32443.45743466538,32438.161197117744,32447.5,32443.0,32442.0,32437.6025885082,32437.6025885082,32434.6,32443.734761973144,32443.84219245428,32436.479166666668,32439.30322580645,3.717948717949184,162.56830601097298,5.78985127181295,5.931355323339633,-0.1415040515266836,3.717948717949184,6.272792022792095,-2.554843304842911,5.506868458585814,5.646621006632385,-0.1397525480465713,3.187380611714559,11.0,16.291774158949785,0.0114618435229136,0.0339097999321857,0.0003390979993218,1.000339097999322,100.0339097999322,0.0044347107128084,0.0,0.0,0.0,2.867070289298712,0.0088353475787325,3.0,23.348452159768755,207.4881790391515,2.6695240531112385,4.601864883503369,-0.4615656000460884,-0.9536548904277576,32448.5,32448.0,32448.666666666668,32449.0,1.0000000000000322,32445.257142857143,33.2225957613511,32436.742857142857,0.654945054945055,3.006659249506624,32445.91208791209,9.039999842643738,59.25538576374011,60.8891658593339,35.714285714285715,100.0,64.28571428571429,69.36067782062987,67.27393309164768,0.0,7.944575028363119,40.607394571964925,84.68033891031493,89.81481481481482,85.71428571428574,116.66666666666669,89.81481481481482,92.94738600760924,68.18557872537946,71.37294634165724,16.666666666666668,0.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,-2.0,-6.163328197226502e-05,-1.0,32448.0,32446.0,-2.0,-6.16370808678501e-05,-1.0,0.5818387866020203,32450.581838786602,0.36304154992103577,32450.36304154992,1.1657966375350952,32451.165796637535,3.012786865234375,32453.012786865234,-807.7604370117188,31642.23956298828,353.0521545410156,32803.052154541016,198.6097412109375,32648.609741210938,546.8104858398438,32996.810485839844,-151.7737579345703,32298.22624206543,-174.14573669433594,32275.854263305664,-372.61114501953125,32077.38885498047,-123.1870346069336,32326.812965393066,,,,,231.97830200195312,32681.978302001953,215.4768524169922,32665.476852416992
122,2017-05-16,32446.0,32446.0,32446.0,32448.0,0,0,0,0,0,0,0,0,32447.69072823815,32440.55,32433.409271761848,32450.1889776162,32435.11703801793,32439.17083333333,32445.011213373888,32435.7,32443.68456293211,32438.299281263106,32449.0,32443.0,32442.0,32439.266174346885,32439.266174346885,32435.7,32445.30573945699,32444.800372577607,32437.3,32440.16774193549,3.198717948715057,102.94784580500742,5.837200765894522,5.912524411850611,-0.0753236459560886,3.198717948715057,5.623219373219197,-2.42450142450414,5.551168223355489,5.627530449977006,-0.0763622266215167,4.959710568020662,9.0,15.128076004739086,0.0098607519544553,0.0277443817626954,0.0002774438176269,1.000277443817627,100.0277443817627,0.0043554061611494,0.0,0.0,0.0,2.94799384006309,0.0090852867358946,4.0,23.38440155947482,168.04743466568735,4.286043333251801,1.7098739822521651,0.2071018199695002,-0.5453331761824604,32446.5,32446.0,32446.666666666668,32447.0,1.0000000000000149,32446.77142857143,38.27382797400766,32436.51428571429,0.789010989010989,3.0066592891550443,32447.56043956044,9.040000081062315,58.63854684804097,60.16833732553954,28.571428571428573,92.85714285714286,64.28571428571429,54.32486008825435,50.61964094395219,0.0,12.022233421730911,36.67013597997963,77.16243004412718,97.22222222222224,88.84479717813053,100.0,97.22222222222224,43.81370759170319,66.81478222583267,68.6935208954543,-0.0,0.0,1,1.0,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,0,1,-1,-1,1,1,-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,0.0,0.0,0.0,32446.0,32446.0,0.0,0.0,0.0,0.5818387866020203,32448.581838786602,0.36304154992103577,32448.36304154992,1.1657966375350952,32449.165796637535,3.012786865234375,32451.012786865234,-664.9521484375,31783.0478515625,379.17999267578125,32827.17999267578,226.2676544189453,32674.267654418945,550.210205078125,32998.210205078125,-152.47604370117188,32295.523956298828,-174.9006805419922,32273.099319458008,-389.6589050292969,32058.341094970703,-127.23529052734375,32320.764709472656,,,,,209.0886688232422,32657.088668823242,221.5334014892578,32669.533401489258
123,2017-05-17,32446.0,32446.0,32446.0,32448.0,0,0,0,0,0,0,0,0,32448.73937171065,32441.1,32433.460628289347,32450.82528894061,32435.948196855486,32439.92916666667,32445.72094229866,32436.8,32443.900334785507,32438.43930760117,32448.0,32443.0,32442.0,32440.663586451385,32440.663586451385,32436.8,32446.631604915543,32445.602059134144,32438.05833333333,32440.96129032258,2.679487179484568,90.23437499994736,5.807777141417319,5.891574957763952,-0.0837978163466335,2.679487179484568,4.9950142450139134,-2.315527065529346,5.523548270895844,5.606734014160773,-0.083185743264929,4.605445527447758,12.0,14.047499147257724,0.0082597856723859,0.0369959304476585,0.0003699593044765,1.0003699593044766,100.03699593044766,0.004278539725333,0.0,0.0,0.0,2.8802799943442983,0.0088766025466725,2.0,23.3539757671764,153.04909201036844,3.214788078585178,-0.2180861126294108,0.4532269034569425,-0.3098317624428752,32446.5,32446.0,32446.666666666668,32447.0,1.0000000000000144,32448.02857142857,41.46112744426429,32436.542857142857,0.8835164835164835,2.4819347224738606,32448.91208791209,6.159999966621399,58.06576785489177,59.498996544159056,21.42857142857143,85.71428571428572,64.28571428571429,54.32486008825435,50.61964094395218,0.0,11.4257110466701,34.85062742102577,77.16243004412718,105.55555555555556,97.53086419753087,100.0,105.55555555555556,43.81370759170319,60.1916003970052,67.58730158730158,-0.0,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,0.0,0.0,0.0,32446.0,32446.0,0.0,0.0,0.0,0.5818387866020203,32448.581838786602,0.36304154992103577,32448.36304154992,1.1657966375350952,32449.165796637535,3.012786865234375,32451.012786865234,-693.1304321289062,31754.869567871094,375.2906799316406,32823.29067993164,217.2285614013672,32665.228561401367,545.003662109375,32993.003662109375,-153.07537841796875,32294.92462158203,-174.15664672851562,32273.843353271484,-393.374267578125,32054.625732421875,-127.6949462890625,32320.305053710938,,,,,213.036376953125,32661.036376953125,219.56541442871094,32667.56541442871
124,2017-05-18,32446.0,32446.0,32446.0,32448.0,0,0,0,0,0,0,0,0,32449.606758100254,32441.65,32433.69324189975,32451.370384328813,32436.72573254223,32440.483333333337,32446.262136225894,32437.9,32445.95016739275,32440.31702254906,32448.0,32443.0,32442.0,32441.837412619163,32441.837412619163,32437.9,32447.60731609845,32446.26669294026,32438.754166666666,32441.683870967743,2.891025641023589,77.70114942520067,5.718538949684444,5.85696775614805,-0.1384288064636063,2.891025641023589,4.474358974358539,-1.5833333333349504,5.439692165226006,5.57332564437382,-0.1336334791478135,4.276485132630061,8.0,13.044106351025029,0.0089117260926582,0.0246609124537666,0.0002466091245376,1.0002466091245377,100.02466091245375,0.0042034379490019,0.0,0.0,0.0,2.817402851891134,0.0086828243709662,2.0,23.229784442602,152.2089571656552,3.277529977886128,1.9692113701653156,0.4662483462996633,-0.2958573870377207,32446.5,32446.0,32446.666666666668,32447.0,1.000000000000017,32449.02857142857,43.18169703554817,32436.82857142857,0.9384615384615383,1.6000000193715094,32449.967032967037,2.5600000619888306,57.53390164696752,58.87746581859147,14.285714285714286,78.57142857142857,64.28571428571429,54.324860088254354,50.619640943952206,0.0,10.846146599812911,33.08284382126643,77.16243004412718,100.0,100.92592592592594,100.0,100.0,43.81370759170319,43.81370759170318,69.3717486994798,-0.0,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,0,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,0.0,0.0,0.0,32446.0,32446.0,0.0,0.0,0.0,0.5818387866020203,32448.581838786602,0.36304154992103577,32448.36304154992,1.1657966375350952,32449.165796637535,3.012786865234375,32451.012786865234,-706.8033447265625,31741.196655273438,378.21636962890625,32826.216369628906,223.8389892578125,32671.838989257812,546.0313110351562,32994.031311035156,-153.64739990234375,32294.352600097656,-172.01754760742188,32275.982452392578,-394.5205993652344,32053.479400634766,-128.07550048828125,32319.92449951172,,,,,217.2074737548828,32665.207473754883,219.92822265625,32667.92822265625
125,2017-05-19,32446.0,32446.0,32446.0,32448.0,0,0,0,0,0,0,0,0,32450.31418509006,32442.2,32434.08581490994,32451.833385040743,32437.45310463628,32440.916666666664,32446.6748161332,32439.0,32446.975083696376,32441.98153783589,32448.0,32443.0,32442.0,32442.823426600095,32442.823426600095,32439.0,32448.24176606824,32446.81164890043,32439.3875,32442.335483870967,3.506410256410163,66.66666666656273,5.58345445246232,5.802265095410904,-0.2188106429485845,3.506410256410163,4.091168091167573,-0.5847578347574096,5.312563765284722,5.521173268556,-0.208609503271278,3.9710219088707706,9.0,12.112384468808957,0.0108085507294484,0.0277443817626954,0.0002774438176269,1.000277443817627,100.0277443817627,0.0041295486882697,0.0,0.0,0.0,2.75901693389891,0.0085028874935247,2.0,23.017667746712185,156.5048545467692,4.034070724523375,4.3120538387774205,0.3986713669887415,-0.3665800576653869,32446.5,32446.0,32446.666666666668,32447.0,1.0000000000000702,32449.771428571432,43.64680804622031,32437.37142857143,0.953846153846154,0.7999999910593032,32450.725274725275,0.6399999856948853,57.040025882466416,58.300330144850136,7.142857142857143,71.42857142857143,64.28571428571429,54.32486008825435,50.61964094395219,0.0,10.28434886591402,31.36925213055121,77.16243004412718,100.0,101.85185185185186,100.0,100.0,43.81370759170319,43.81370759170318,74.79791916766708,-0.0,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,0.0,0.0,0.0,32446.0,32446.0,0.0,0.0,0.0,0.5818387866020203,32448.581838786602,0.36304154992103577,32448.36304154992,1.1657966375350952,32449.165796637535,3.012786865234375,32451.012786865234,-712.022216796875,31735.977783203125,382.73297119140625,32830.732971191406,230.05650329589844,32678.0565032959,547.7500610351562,32995.750061035156,-154.2664031982422,32293.733596801758,-167.64883422851562,32280.351165771484,-392.4205017089844,32055.579498291016,-127.86091613769531,32320.139083862305,,,,,219.6185302734375,32667.618530273438,220.30157470703125,32668.30157470703
126,2017-05-22,32446.0,32446.0,32446.0,32448.0,0,0,0,0,0,0,0,0,32450.99925146574,32442.65,32434.300748534264,32452.222615070477,32438.133549498456,32441.35,32446.98949946077,32440.1,32447.02632951156,32442.10765762778,32448.0,32443.0,32443.0,32443.65167834408,32443.65167834408,32440.1,32448.59648686497,32447.252435128223,32439.95833333333,32442.91612903226,3.7884615384609783,58.33333333321791,5.413989909597149,5.724610058248153,-0.3106201486510045,3.7884615384609783,3.8084045584041126,-0.0199430199431338,5.15284271847122,5.447507158539044,-0.294664440067824,3.6873774868085727,6.0,11.247214149608316,0.0116778386632473,0.018494544109493,0.0001849454410948,1.000184945441095,100.01849454410949,0.004056425375154,0.0,0.0,0.0,2.7048014386204167,0.0083358032501861,2.0,22.870931054156863,161.44030808389897,6.699459742187735,3.156106028887488,0.3182924670255713,-0.445265210189476,32446.5,32446.0,32446.666666666668,32447.0,1.0000000000000702,32450.257142857143,42.91269502722346,32438.17142857143,0.9296703296703296,0.0,32451.18681318681,0.0,56.581426958286826,58.14504038596847,0.0,64.28571428571429,64.28571428571429,54.324860088254354,50.61964094395219,0.0,9.7409834396775,29.71188254139512,77.16243004412718,100.0,100.0,100.0,100.0,47.138181581692166,44.92186558836617,79.42234848484848,-0.0,0.0,1,1.0,-1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32448.0,0.0,0.0,0.0,32446.0,32446.0,0.0,0.0,0.0,0.5818387866020203,32448.581838786602,0.36304154992103577,32448.36304154992,1.1657966375350952,32449.165796637535,3.012786865234375,32451.012786865234,-713.9320068359375,31734.067993164062,386.3777770996094,32834.37777709961,234.1082305908203,32682.10823059082,549.3927001953125,32997.39270019531,-152.68284606933594,32295.317153930664,-163.7963409423828,32284.203659057617,-390.3562927246094,32057.64370727539,-127.66065979003906,32320.33934020996,,,,,220.494140625,32668.494140625,220.5885772705078,32668.588577270508
