Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-09,1112.895751953125,1112.895751953125,1100.4586181640625,1112.895751953125,-12.4371337890625,5.8035702790671015,-8.763668453677042,-3.713620000463061,1.70478341368011,1.5399451888356412,0.6167057146601119,-2.542539738163555,0.1854213164495627,-0.8179320832460149,0.6329932363125174,0.3546248397744563,0.54431283,0.44141045,0.33809656,0.40910122,0.6095928,1.0678248,0.88754886,0.8711523,0.8327788,0.66415006,-39.98769,123.62265,-182.94608,-23.297699,-21.681372,5.134996,-14.293396,36.31369,5.036509,20.816814,0.2833475,1.5500381,0.38382065,0.36494192,2.0195713,0.18164769,1.0763221,-2.3206155,1.2022645,-0.78772575
2015-03-10,1100.4586181640625,1100.4586181640625,1087.2039794921875,1100.4586181640625,-13.254638671875,5.803486187584296,-8.820709723167342,-4.538306163280971,1.9126103492193665,1.5659539070274329,0.8035504644532039,-2.3062325949910347,0.4747330785428974,-0.7301677205879842,0.4214833630610847,0.7026466356042657,0.5311583,0.44665816,0.35404074,0.42133805,0.5962571,0.59631026,0.27272058,0.3910724,0.8666828,0.8444947,-44.298466,132.50015,-187.55183,-24.569534,-26.078222,5.922491,-15.031706,36.104614,4.8240232,20.792307,0.28444684,1.4328169,0.31350616,0.29867256,2.0458565,0.14187285,1.0737087,-2.4655056,1.2022301,-0.88881665
2015-03-11,1087.2039794921875,1087.2039794921875,1073.6650390625,1087.2039794921875,-13.5389404296875,5.803313110802438,-8.890866579269826,-5.366812171109396,2.145496668986019,1.6825545398472586,0.8607392513702058,-2.098239723900414,1.0548666829553877,-0.5559732748085533,0.3630564952998892,0.5486524011111493,0.54006773,0.46065313,0.44349164,0.46253404,0.5962571,0.59631026,1.0500511,0.3910724,1.2139179,0.92333424,-51.01445,132.03563,-191.01497,-25.636997,-33.439716,7.1115327,-15.850857,35.911045,4.5950775,20.768467,0.28554225,1.3166119,0.2587579,0.27574867,2.1797667,0.09265173,1.0709734,-2.5687802,1.2021905,-0.99951655
2015-03-12,1073.6650390625,1077.566650390625,1073.6650390625,1073.6650390625,3.901611328125,5.8035450438888585,-8.983232976278764,-6.588273960339861,2.520116607475171,1.6731847577450585,0.7979538020845548,-1.9735050844702156,1.6399668234915603,-0.3854938495498211,0.1170965991095443,0.6199006090236208,0.59845024,0.4755948,0.49067354,0.5026772,0.62374693,0.59631026,1.0500511,0.3910724,1.2139179,0.92333424,-60.165714,127.864006,-199.29607,-26.848854,-45.984707,7.82564,-16.982738,35.095364,4.3020473,20.596947,0.2867643,1.1842295,0.2255485,0.25744936,2.2930255,0.0119036175,1.0665239,-2.6680408,1.2021528,-1.1882977
2015-03-13,1077.566650390625,1077.566650390625,1071.736328125,1077.566650390625,-5.830322265625,5.804290656033833,-9.155054946847752,-7.164898198270283,1.5416442671149069,1.0380465526028475,1.1860348147527506,-0.6506857130817109,1.2815397968370417,-0.5479817426405263,-0.5963291119388604,0.0395247023089262,0.5838491,0.47250184,0.473496,0.5150898,0.62374693,0.59631026,1.0500511,0.3910724,1.2139179,0.92333424,-59.13879,129.19945,-212.65471,-29.08387,-36.936687,7.351816,-17.429165,36.88053,4.212678,20.54934,0.2883296,1.0745758,0.21429312,0.22850409,2.5704882,0.062284622,1.0698078,-2.4585319,1.2022363,-1.0550975
2015-03-16,1071.736328125,1071.736328125,1067.5963134765625,1071.736328125,-4.1400146484375,5.805240904256205,-9.257145226315624,-7.292766717254794,1.182835957593746,1.0768188753601449,1.0738582087756512,-0.4386623744796376,1.0859636872121032,-0.4992421546459535,-0.073555608989513,0.0520553247898635,0.54006773,0.4660689,0.46344742,0.5098758,0.5962571,0.59631026,1.0500511,0.3910724,1.2139179,0.92333424,-59.719288,126.89502,-215.76144,-29.08427,-42.569267,7.5232325,-17.616951,36.938828,4.048467,20.38285,0.29020607,0.98081607,0.21282518,0.18529308,2.8097024,0.0770785,1.0704184,-2.467089,1.2022657,-1.0493103
2015-03-17,1067.5963134765625,1076.6009521484375,1067.5963134765625,1067.5963134765625,9.004638671875,5.806194781858625,-9.339699821753747,-7.789825509996908,1.0218458797099212,1.1106310020355468,0.9003725744707554,-0.3090645935679218,1.283631321481659,-0.2469452520564464,0.1863815958802045,-0.3052165856719867,0.6152789,0.48361805,0.56824934,0.5422709,0.62374693,0.59631026,1.0500511,0.7413925,1.5953306,1.314938,-60.835136,121.778145,-219.69669,-29.093664,-54.011036,7.760049,-18.035067,36.897926,3.8773975,20.290518,0.29227462,0.893697,0.22547063,0.1437375,3.1045606,0.058270965,1.0689285,-2.4882133,1.2022702,-1.0997093
2015-03-18,1076.6009521484375,1076.6009521484375,1075.15185546875,1076.6009521484375,-1.4490966796875,5.807013420793863,-9.412002982332702,-7.25142372419138,0.2581953671652551,1.115889545064203,0.7789346400743133,-0.1782679595985053,0.9921174694435844,0.1791763509899401,0.8341768150423098,-0.5679610873108831,0.5857352,0.47901323,0.60696423,0.55881387,0.5962571,0.59631026,1.7296358,0.7413925,1.5953306,1.314938,-58.554787,106.161285,-221.87617,-27.165981,-58.4949,7.3970895,-17.678284,36.713326,3.9550767,20.238214,0.2944338,0.80936545,0.22618824,0.09617508,3.2176995,0.09382907,1.070592,-2.4475994,1.2023022,-1.0267789
2015-03-19,1075.15185546875,1085.4500732421875,1075.15185546875,1075.15185546875,10.2982177734375,5.807135202113397,-9.476503487159222,-7.20968854677641,-0.1559504136527916,1.099740703115582,0.8084406212613408,-0.2000042240896837,1.096164200155272,0.7142252916491509,0.9665297647065906,-0.768737732822959,0.5857352,0.47943044,0.6161827,0.5692851,0.5962571,0.59631026,1.7296358,0.7413925,1.5953306,1.314938,-56.87034,99.937485,-222.55904,-26.83652,-65.69491,7.566837,-17.703663,36.926163,4.0226216,20.362991,0.29655242,0.72295356,0.2393109,0.04558182,3.2991822,0.08276946,1.0699588,-2.4499307,1.2022727,-1.0426632
2015-03-20,1085.4500732421875,1086.8472900390625,1085.4500732421875,1085.4500732421875,1.397216796875,5.806622730272086,-9.52550814806131,-6.268681003978392,-1.083952599264153,1.0693578796580958,0.8629282918788731,-0.2323713641230709,0.785652932604189,1.3818981044401526,1.2187495668902204,-0.8554047208862907,0.5857352,0.47810823,0.63986355,0.5604342,0.5962571,0.59631026,1.7296358,0.7413925,1.5953306,1.506716,-44.055214,85.11589,-221.94688,-24.754267,-65.27383,7.2977977,-17.052896,36.930786,4.3577337,20.670856,0.298581,0.643425,0.23855647,-0.0032548863,3.203449,0.09161461,1.0703164,-2.3836699,1.2022485,-1.0017896
